Test ID,Fonctionnalité,Scénario de Test,Type,Priorité,Préconditions,Données de Test,Étapes,Résultat Attendu,Statut,Commentaires
TC_CATALOG_001,Création produit,Créer un produit avec toutes les données valides,Positif,Haute,CatalogType et CatalogBrand existent,"Name = ""iPhone 15 Pro""
Description = ""Latest Apple smartphone""
Price = 1199.99
AvailableStock = 100
RestockThreshold = 10
MaxStockThreshold = 500
CatalogTypeId = GUID valide
CatalogBrandId = GUID valide","1. Appeler POST /api/catalogitems avec données complètes
2. Vérifier la réponse
3. Récupérer le produit créé","- Code HTTP 201 Created
- Id généré (GUID)
- Toutes les propriétés correctement sauvegardées
- Location header avec URL du produit",À tester,Création basique de produit
TC_CATALOG_002,Création produit,Créer un produit sans nom,Négatif,Haute,Aucune,"Name = null ou """"
Description = ""Test""
Price = 99.99","1. Appeler POST /api/catalogitems sans Name
2. Vérifier l'erreur de validation","- Code HTTP 400 Bad Request
- Message : ""Le nom du produit est requis""",À tester,Validation nom obligatoire
TC_CATALOG_003,Création produit,Créer un produit avec un nom vide (espaces),Négatif,Moyenne,Aucune,"Name = ""   ""
Price = 99.99","1. Appeler POST /api/catalogitems avec Name contenant uniquement des espaces
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Erreur de validation sur Name",À tester,Validation nom non vide
TC_CATALOG_004,Création produit,Créer un produit avec prix = 0,Négatif,Haute,Aucune,"Name = ""Test Product""
Price = 0","1. Appeler POST /api/catalogitems avec Price = 0
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""Le prix doit être supérieur à 0""",À tester,Validation prix positif
TC_CATALOG_005,Création produit,Créer un produit avec prix négatif,Négatif,Haute,Aucune,"Name = ""Test Product""
Price = -99.99","1. Appeler POST /api/catalogitems avec prix négatif
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Erreur de validation sur Price",À tester,Validation prix négatif interdit
TC_CATALOG_006,Création produit,Créer un produit avec stock négatif,Négatif,Moyenne,Aucune,"Name = ""Test Product""
Price = 99.99
AvailableStock = -10","1. Appeler POST /api/catalogitems avec stock négatif
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""Le stock ne peut pas être négatif""",À tester,Validation stock >= 0
TC_CATALOG_007,Création produit,Créer un produit avec MaxStock < RestockThreshold,Négatif,Moyenne,Aucune,"RestockThreshold = 100
MaxStockThreshold = 50","1. Appeler POST /api/catalogitems avec MaxStock < RestockThreshold
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""MaxStockThreshold doit être supérieur à RestockThreshold""",À tester,Validation cohérence seuils
TC_CATALOG_008,Création produit,Créer un produit avec CatalogTypeId inexistant,Négatif,Moyenne,CatalogTypeId n'existe pas,CatalogTypeId = GUID inexistant,"1. Appeler POST /api/catalogitems avec CatalogTypeId invalide
2. Vérifier l'erreur","- Code HTTP 400 Bad Request OU 404
- Message : ""Type de catalogue non trouvé""",À tester,Validation clé étrangère Type
TC_CATALOG_009,Création produit,Créer un produit avec CatalogBrandId inexistant,Négatif,Moyenne,CatalogBrandId n'existe pas,CatalogBrandId = GUID inexistant,"1. Appeler POST /api/catalogitems avec BrandId invalide
2. Vérifier l'erreur","- Code HTTP 400 Bad Request OU 404
- Message : ""Marque non trouvée""",À tester,Validation clé étrangère Brand
TC_CATALOG_010,Mise à jour produit,Mettre à jour toutes les propriétés d'un produit,Positif,Haute,Un produit existe,"Nouvelles valeurs :
Name = ""Updated Name""
Description = ""Updated Desc""
Price = 1499.99","1. Appeler PUT /api/catalogitems/{id} avec nouvelles données
2. Récupérer le produit
3. Vérifier les modifications","- Code HTTP 200 OK
- Toutes les propriétés mises à jour
- Id inchangé",À tester,Mise à jour complète
