Test ID,Fonctionnalité,Scénario de Test,Type,Priorité,Préconditions,Données de Test,Étapes,Résultat Attendu,Statut,Commentaires
TC_ORDER_001,Création commande,Créer une commande avec toutes les données valides,Positif,Haute,Un client existe,"CustomerId = GUID valide
ShippingAddress = ""123 Rue de Paris, 75001 Paris""
BillingAddress = ""123 Rue de Paris, 75001 Paris""
PaymentMethod = ""CreditCard""
CustomerEmail = ""customer@eshop.com""
CustomerPhone = ""+33612345678""","1. Appeler POST /api/orders avec données complètes
2. Vérifier la réponse
3. Récupérer la commande créée","- Code HTTP 201 Created
- OrderId généré (GUID)
- OrderStatus = ""Initial""
- CustomerId correct
- TotalAmount = 0 (pas d'items encore)
- OrderDate définie",À tester,Création basique de commande
TC_ORDER_002,Création commande,Créer une commande sans CustomerId,Négatif,Haute,Aucune,"CustomerId = Guid.Empty ou null","1. Appeler POST /api/orders sans CustomerId
2. Vérifier l'erreur de validation","- Code HTTP 400 Bad Request
- Message : ""CustomerId est requis""",À tester,Validation CustomerId obligatoire
TC_ORDER_003,Création commande,Créer une commande sans adresse de livraison,Négatif,Haute,Aucune,"ShippingAddress = null ou """"","1. Appeler POST /api/orders sans ShippingAddress
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""L'adresse de livraison est requise""",À tester,Validation adresse livraison
TC_ORDER_004,Création commande,Créer une commande sans adresse de facturation,Négatif,Haute,Aucune,"BillingAddress = null ou """"","1. Appeler POST /api/orders sans BillingAddress
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""L'adresse de facturation est requise""",À tester,Validation adresse facturation
TC_ORDER_005,Création commande,Créer une commande avec email invalide,Négatif,Haute,Aucune,"CustomerEmail = ""invalid-email""
ou ""@example.com""
ou ""user@""","1. Appeler POST /api/orders avec email invalide
2. Vérifier l'erreur de validation","- Code HTTP 400 Bad Request
- Message : ""Format d'email invalide""",À tester,Validation format email
TC_ORDER_006,Création commande,Créer une commande sans email,Négatif,Moyenne,Aucune,"CustomerEmail = null ou """"","1. Appeler POST /api/orders sans email
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""L'email est requis""",À tester,Validation email obligatoire
TC_ORDER_007,Création commande,Créer une commande sans téléphone,Négatif,Moyenne,Aucune,"CustomerPhone = null ou """"","1. Appeler POST /api/orders sans téléphone
2. Vérifier l'erreur","- Code HTTP 400 Bad Request OU accepté
- Selon la logique métier",À tester,Validation téléphone (optionnel?)
TC_ORDER_008,Création commande,Créer une commande sans méthode de paiement,Négatif,Haute,Aucune,"PaymentMethod = null ou """"","1. Appeler POST /api/orders sans PaymentMethod
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""La méthode de paiement est requise""",À tester,Validation paiement obligatoire
TC_ORDER_009,Ajout d'item,Ajouter un item à une commande en statut Initial,Positif,Haute,"Une commande existe
OrderStatus = ""Initial""","CatalogItemId = GUID valide
ProductName = ""iPhone 15 Pro""
UnitPrice = 1199.99
Quantity = 2
Discount = 0","1. Appeler POST /api/orders/{orderId}/items
2. Récupérer la commande
3. Vérifier l'item et le total","- Code HTTP 200 OK
- Item ajouté à order.Items
- TotalAmount = 2399.98 (1199.99 * 2)
- OrderItemAddedDomainEvent levé",À tester,Ajout d'item basique
TC_ORDER_010,Ajout d'item,Ajouter un item avec quantité = 0,Négatif,Moyenne,Une commande existe,"Quantity = 0","1. Appeler POST /api/orders/{orderId}/items avec Quantity = 0
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""La quantité doit être supérieure à 0""",À tester,Validation quantité positive
TC_ORDER_011,Ajout d'item,Ajouter un item avec quantité négative,Négatif,Moyenne,Une commande existe,"Quantity = -5","1. Appeler POST /api/orders/{orderId}/items avec quantité négative
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Erreur de validation sur Quantity",À tester,Validation quantité négative
TC_ORDER_012,Ajout d'item,Ajouter un item avec prix négatif,Négatif,Moyenne,Une commande existe,"UnitPrice = -99.99","1. Appeler POST /api/orders/{orderId}/items avec prix négatif
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Erreur de validation sur UnitPrice",À tester,Validation prix positif
TC_ORDER_013,Ajout d'item,Ajouter un item sans nom de produit,Négatif,Basse,Une commande existe,"ProductName = null ou """"","1. Appeler POST /api/orders/{orderId}/items sans ProductName
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""Le nom du produit est requis""",À tester,Validation ProductName
TC_ORDER_014,Ajout d'item,Ajouter un item à une commande déjà livrée,Négatif,Haute,"Une commande existe
OrderStatus = ""Delivered""","CatalogItemId = GUID valide
Quantity = 1","1. Tenter d'ajouter un item à une commande livrée
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""Impossible de modifier une commande livrée""",À tester,Immutabilité commande livrée
TC_ORDER_015,Ajout d'item,Ajouter un item à une commande annulée,Négatif,Haute,"OrderStatus = ""Cancelled""","Item valide","1. Tenter d'ajouter un item à une commande annulée
2. Vérifier l'erreur","- Code HTTP 400 Bad Request
- Message : ""Impossible de modifier une commande annulée""",À tester,Immutabilité commande annulée
TC_ORDER_016,Ajout d'item,Ajouter plusieurs items à une commande,Positif,Haute,Une commande existe,"Item 1 : iPhone (1199.99 x 2)
Item 2 : MacBook (2499.99 x 1)
Item 3 : AirPods (249.99 x 3)","1. Ajouter les 3 items
2. Récupérer la commande
3. Vérifier le total","- Code HTTP 200 OK pour chaque ajout
- order.Items.Count = 3
- TotalAmount = 5649.94
- Calcul correct",À tester,Commande multi-items
